qid,pipeline,question,ground_truth_answer,generated_answer,context,retrieved_doc_contents,tool_used,latency_s,latency_cached_s
10,ablation_no_rerank,"Năm 2022, ngành Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt) lấy điểm chuẩn như thế nào?","Vào năm 2022, điểm trúng tuyển cho ngành Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt) là 25.75 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7480108V | Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt) | 2022 | 25.75 | KHOA ĐIỆN - ĐIỆN TỬ |","[""   ma_nganh                                      ten_nganh   nam   diem                 khoa\n0  7480108V  Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt)  2022  25.75  KHOA ĐIỆN - ĐIỆN TỬ\n1  7480108A   Công nghệ kỹ thuật máy tính (CTĐT Tiếng Anh)  2022  25.25  KHOA ĐIỆN - ĐIỆN TỬ""]",[],text2sql,12.638,0.214
11,ablation_no_rerank,Xin hỏi điểm chuẩn ngành Sư phạm công nghệ (đào tạo bằng tiếng Việt) năm 2025?,Điểm trúng tuyển ngành Sư phạm công nghệ (đào tạo bằng tiếng Việt) năm 2025 được xác định là 26.79 điểm.,"| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7140246V | Sư phạm công nghệ (đào tạo bằng tiếng Việt) | 2025 | 26.79 | VIỆN SƯ PHẠM KỸ THUẬT |","[""   ma_nganh                                    ten_nganh   nam   diem                   khoa\n0  7140246V  Sư phạm công nghệ (đào tạo bằng tiếng Việt)  2025  26.79  VIỆN SƯ PHẠM KỸ THUẬT""]",[],text2sql,16.79,0.206
12,ablation_no_rerank,Ngành Luật (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là bao nhiêu?,"Theo dữ liệu tuyển sinh, ngành Luật (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là 24.73 điểm.","| ma_nganh | ten_nganh | diem |
|---|---|---|
| 7380101V | Luật (đào tạo bằng tiếng Việt) | 24.73 |","[""   ma_nganh                       ten_nganh   diem\n0  7380101V  Luật (đào tạo bằng tiếng Việt)  24.73""]",[],text2sql,11.253,0.213
13,ablation_no_rerank,Điểm chuẩn ngành Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Việt) năm 2023 là bao nhiêu?,Điểm trúng tuyển ngành Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Việt) năm 2023 là 26.9 điểm.,"| ten_nganh | nam | diem |
|---|---|---|
| Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Việt) | 2023 | 26.9 |","[""   ma_nganh                                        ten_nganh   nam  diem                     khoa\n0  7510203V  Công nghệ kỹ thuật cơ điện tử (CTĐT Tiếng Việt)  2023  26.9  KHOA CƠ KHÍ CHẾ TẠO MÁY""]",[],text2sql,14.398,0.21
14,ablation_no_rerank,Ngành An toàn thông tin (đào tạo bằng tiếng Việt) năm 2025 yêu cầu mức điểm bao nhiêu?,"Theo bảng điểm, ngành An toàn thông tin (đào tạo bằng tiếng Việt) năm 2025 yêu cầu mức điểm trúng tuyển là 26 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7480202V | An toàn thông tin (đào tạo bằng tiếng Việt) | 2025 | 26.0 | KHOA CÔNG NGHỆ THÔNG TIN |","[""   ma_nganh                                    ten_nganh   nam  diem                      khoa\n0  7480202V  An toàn thông tin (đào tạo bằng tiếng Việt)  2025  26.0  KHOA CÔNG NGHỆ THÔNG TIN""]",[],text2sql,16.55,0.205
15,ablation_no_rerank,Cho biết điểm chuẩn năm 2024 của ngành Sư phạm tiếng Anh (CTĐT Tiếng Việt)?,Điểm trúng tuyển ngành Sư phạm tiếng Anh (CTĐT Tiếng Việt) năm 2024 là 27.5 điểm.,"| ten_nganh | nam | diem |
|---|---:|---:|
| Sư phạm tiếng Anh (CTĐT Tiếng Việt) | 2024 | 27.5 |","[""                             ten_nganh   nam  diem\n0  Sư phạm tiếng Anh (CTĐT Tiếng Việt)  2024  27.5""]",[],text2sql,18.04,0.213
16,ablation_no_rerank,Ngành Vật lý kỹ thuật (định hướng công nghệ bán dẫn...) (đào tạo bằng tiếng Việt) năm 2025 lấy bao nhiêu điểm?,"Ngành Vật lý kỹ thuật (định hướng công nghệ bán dẫn và cảm biến, đo lường) năm 2025 có điểm chuẩn là 28.65 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---|---|---|
| 7520401V | Vật lý kỹ thuật (định hướng công nghệ bán dẫn và cảm biến, đo lường) (đào tạo bằng tiếng Việt) | 2025 | 28.65 | KHOA KHOA HỌC ỨNG DỤNG |","[""   ma_nganh                                                                                       ten_nganh   nam   diem                    khoa\n0  7520401V  Vật lý kỹ thuật (định hướng công nghệ bán dẫn và cảm biến, đo lường) (đào tạo bằng tiếng Việt)  2025  28.65  KHOA KHOA HỌC ỨNG DỤNG""]",[],text2sql,12.386,0.216
17,ablation_no_rerank,Mức điểm chuẩn của ngành Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt) năm 2025 là bao nhiêu?,"Theo dữ liệu, điểm trúng tuyển ngành Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt) năm 2025 là 28.35 điểm.","| ma_nganh | ten_nganh | nam | diem |
|---|---|---:|---:|
| 7510401V | Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt) | 2025 | 28.35 |","[""   ma_nganh                                             ten_nganh   nam   diem\n0  7510401A   Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Anh)  2025  24.10\n1  7510401V  Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt)  2025  28.35""]",[],text2sql,12.941,0.207
18,ablation_no_rerank,Ngành Kỹ thuật dữ liệu (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn bao nhiêu?,Điểm trúng tuyển của ngành Kỹ thuật dữ liệu (đào tạo bằng tiếng Việt) năm 2025 được công bố là 26.1 điểm.,"| diem | ma_nganh | ten_nganh |
|---:|---|---|
| 26.1 | 7480203V | Kỹ thuật dữ liệu (đào tạo bằng tiếng Việt) |","[""   diem  ma_nganh                                   ten_nganh\n0  26.1  7480203V  Kỹ thuật dữ liệu (đào tạo bằng tiếng Việt)""]",[],text2sql,10.836,0.21
19,ablation_no_rerank,"Năm 2024, ngành Hệ thống kỹ thuật công trình xây dựng (CTĐT Tiếng Việt) lấy bao nhiêu điểm?","Theo thông tin tuyển sinh, ngành Hệ thống kỹ thuật công trình xây dựng (CTĐT Tiếng Việt) năm 2024 có điểm chuẩn là 22.22 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7510106V | Hệ thống kỹ thuật công trình xây dựng (CTĐT Tiếng Việt) | 2024 | 22.22 | KHOA XÂY DỰNG |","[""   ma_nganh                                                ten_nganh   nam   diem           khoa\n0  7510106V  Hệ thống kỹ thuật công trình xây dựng (CTĐT Tiếng Việt)  2024  22.22  KHOA XÂY DỰNG""]",[],text2sql,12.827,0.217
20,ablation_no_rerank,Ngành Công nghệ Kỹ thuật cơ khí (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là bao nhiêu?,Điểm trúng tuyển của ngành Công nghệ Kỹ thuật cơ khí (đào tạo bằng tiếng Việt) năm 2025 là 26.45 điểm.,"| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7510201V | Công nghệ Kỹ thuật cơ khí (đào tạo bằng tiếng Việt) | 2025 | 26.45 | KHOA CƠ KHÍ CHẾ TẠO MÁY |","[""     ma_nganh                                                                                                   ten_nganh   nam   diem                     khoa\n0    7510201V                                                         Công nghệ Kỹ thuật cơ khí (đào tạo bằng tiếng Việt)  2025  26.45  KHOA CƠ KHÍ CHẾ TẠO MÁY\n1    7510201A                                                          Công nghệ Kỹ thuật cơ khí (đào tạo bằng tiếng Anh)  2025  23.64  KHOA CƠ KHÍ CHẾ TẠO MÁY\n2   7510201BP                                                Công nghệ Kỹ thuật cơ khí (đào tạo tại phân hiệu Bình Phước)  2025  23.37  KHOA CƠ KHÍ CHẾ TẠO MÁY\n3  7510201TDA  Chương trình đào tạo Cơ khí – Tự động Hóa (thuộc ngành Công nghệ Kỹ thuật Cơ khí) (đào tạo bằng tiếng Anh)  2025  23.37  KHOA CƠ KHÍ CHẾ TẠO MÁY""]",[],text2sql,14.605,0.214
21,ablation_no_rerank,Cho tôi hỏi điểm chuẩn ngành Ngôn ngữ Anh (đào tạo bằng tiếng Việt) năm 2025?,"Theo dữ liệu, điểm trúng tuyển ngành Ngôn ngữ Anh (đào tạo bằng tiếng Việt) năm 2025 là 26.6 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7220201V | Ngôn ngữ Anh (đào tạo bằng tiếng Việt) | 2025 | 26.6 | KHOA NGOẠI NGỮ |","[""    ma_nganh                                        ten_nganh   nam  diem            khoa\n0  7220201BP  Ngôn ngữ Anh (đào tạo tại phân hiệu Bình Phước)  2025  24.0  KHOA NGOẠI NGỮ\n1   7220201V           Ngôn ngữ Anh (đào tạo bằng tiếng Việt)  2025  26.6  KHOA NGOẠI NGỮ""]",[],text2sql,13.648,0.228
22,ablation_no_rerank,"Năm 2023, điểm trúng tuyển ngành Kỹ thuật dữ liệu (CTĐT Tiếng Việt) là bao nhiêu?",Điểm trúng tuyển của ngành Kỹ thuật dữ liệu (CTĐT Tiếng Việt) vào năm 2023 là 26.81 điểm.,"| diem |
|------:|
| 26.81 |","[""    diem\n0  26.81""]",[],text2sql,15.033,0.218
23,ablation_no_rerank,Ngành Công nghệ thông tin (đào tạo tại phân hiệu Bình Phước) năm 2025 lấy bao nhiêu điểm?,"Theo bảng điểm chuẩn, ngành Công nghệ thông tin (đào tạo tại phân hiệu Bình Phước) năm 2025 là 24.75 điểm.","| ma_nganh | ten_nganh                                                                 | nam  | diem  | khoa                         |
|----------|---------------------------------------------------------------------------|------:|------:|------------------------------|
| 7480201BP| Công nghệ thông tin (đào tạo tại phân hiệu Bình Phước)                   | 2025 | 24.75 | KHOA CÔNG NGHỆ THÔNG TIN |","[""    ma_nganh                                               ten_nganh   nam   diem                      khoa\n0  7480201BP  Công nghệ thông tin (đào tạo tại phân hiệu Bình Phước)  2025  24.75  KHOA CÔNG NGHỆ THÔNG TIN""]",[],text2sql,15.681,0.216
24,ablation_no_rerank,Điểm chuẩn ngành Kế toán (đào tạo bằng tiếng Việt) năm 2025 là bao nhiêu?,"Theo dữ liệu tuyển sinh, điểm trúng tuyển ngành Kế toán (đào tạo bằng tiếng Việt) năm 2025 là 23.65 điểm.","| Ngành | Năm | Điểm chuẩn |
|---|---:|---:|
| Kế toán (đào tạo bằng tiếng Việt) | 2025 | 23.65 |","[""    ma_nganh                                   ten_nganh   nam   diem          khoa\n0   7340301A            Kế toán (đào tạo bằng tiếng Anh)  2025  23.65  KHOA KINH TẾ\n1   7340301V           Kế toán (đào tạo bằng tiếng Việt)  2025  23.65  KHOA KINH TẾ\n2  7340301BP  Kế toán (đào tạo tại phân hiệu Bình Phước)  2025  23.55  KHOA KINH TẾ""]",[],text2sql,13.351,0.216
25,ablation_no_rerank,"Năm 2024, điểm chuẩn ngành Công nghệ Kỹ thuật in (CTĐT Tiếng Việt) là bao nhiêu?","Trong năm 2024, ngành Công nghệ kỹ thuật in (CTĐT Tiếng Việt) có mức điểm chuẩn là 22 điểm.","| ma_nganh | ten_nganh | nam | diem |
|---|---|---:|---:|
| 7510801V | Công nghệ kỹ thuật in (CTĐT Tiếng Việt) | 2024 | 22.0 |","[""   ma_nganh                                ten_nganh   nam  diem\n0  7510801V  Công nghệ kỹ thuật in (CTĐT Tiếng Việt)  2024  22.0""]",[],text2sql,13.123,0.209
26,ablation_no_rerank,Ngành Quản trị kinh doanh (đào tạo bằng tiếng Việt) năm 2025 lấy điểm chuẩn bao nhiêu?,Ngành Quản trị kinh doanh (đào tạo bằng tiếng Việt) năm 2025 lấy điểm trúng tuyển là 24.74 điểm.,"| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7340101V | Quản trị kinh doanh (đào tạo bằng tiếng Việt) | 2025 | 24.74 | KHOA KINH TẾ |","[""   ma_nganh                                      ten_nganh   nam   diem          khoa\n0  7340101V  Quản trị kinh doanh (đào tạo bằng tiếng Việt)  2025  24.74  KHOA KINH TẾ""]",[],text2sql,17.218,0.218
27,ablation_no_rerank,Cho tôi biết điểm chuẩn ngành Tâm lý học giáo dục (đào tạo bằng tiếng Việt) năm 2025?,Điểm trúng tuyển của ngành Tâm lý học giáo dục (đào tạo bằng tiếng Việt) năm 2025 là 25.18 điểm.,Không có đủ thông tin để trả lời.,"[""Empty DataFrame\nColumns: [ma_nganh, ten_nganh, nam, diem, khoa]\nIndex: []""]",[],text2sql,16.866,0.323
28,ablation_no_rerank,Ngành Công nghệ truyền thông (Truyền thông số...) năm 2025 có điểm chuẩn là bao nhiêu?,Điểm trúng tuyển ngành Công nghệ truyền thông (Truyền thông số và Công nghệ đa phương tiện) năm 2025 là 26.5 điểm.,"| ma_nganh   | ten_nganh                                                                                              | nam  | diem | khoa                     |
|------------|--------------------------------------------------------------------------------------------------------|------|------|--------------------------|
| 7320106V   | Công nghệ truyền thông (Truyền thông số và Công nghệ đa phương tiện) (đào tạo bằng tiếng Việt)        | 2025 | 26.5 | KHOA IN VÀ TRUYỀN THÔNG |","[""   ma_nganh                                                                                       ten_nganh   nam  diem                     khoa\n0  7320106V  Công nghệ truyền thông (Truyền thông số và Công nghệ đa phương tiện) (đào tạo bằng tiếng Việt)  2025  26.5  KHOA IN VÀ TRUYỀN THÔNG""]",[],text2sql,12.525,0.216
29,ablation_no_rerank,"Năm 2022, ngành Thương mại điện tử (CTĐT Tiếng Việt) lấy bao nhiêu điểm?","Theo dữ liệu, điểm chuẩn ngành Thương mại điện tử (CTĐT Tiếng Việt) năm 2022 là 26 điểm.","| diem |
|------|
| 26.0 |","[""   diem\n0  26.0""]",[],text2sql,15.762,0.207
30,ablation_no_rerank,Điểm chuẩn ngành Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt) năm 2023 là bao nhiêu?,"Vào năm 2023, ngành Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt) có điểm trúng tuyển là 26.65 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7510205V | Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt) | 2023 | 26.65 | KHOA CƠ KHÍ ĐỘNG LỰC |","[""   ma_nganh                                  ten_nganh   nam   diem                  khoa\n0  7510205V  Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt)  2023  26.65  KHOA CƠ KHÍ ĐỘNG LỰC""]",[],text2sql,17.676,0.206
31,ablation_no_rerank,Ngành Công nghệ tài chính (đào tạo bằng tiếng Việt) năm 2025 có mức điểm chuẩn thế nào?,"Theo thông tin, điểm trúng tuyển ngành Công nghệ tài chính (đào tạo bằng tiếng Việt) năm 2025 là 24.7 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7340205V | Công nghệ tài chính (đào tạo bằng tiếng Việt) | 2025 | 24.7 | KHOA KINH TẾ |","[""   ma_nganh                                      ten_nganh   nam  diem          khoa\n0  7340205V  Công nghệ tài chính (đào tạo bằng tiếng Việt)  2025  24.7  KHOA KINH TẾ""]",[],text2sql,13.389,0.216
32,ablation_no_rerank,Ngành Kế toán (đào tạo tại phân hiệu Bình Phước) năm 2025 lấy bao nhiêu điểm?,Điểm chuẩn ngành Kế toán (đào tạo tại phân hiệu Bình Phước) năm 2025 là 23.55 điểm.,Không có đủ thông tin để trả lời.,"[""Empty DataFrame\nColumns: [ma_nganh, ten_nganh, nam, diem, khoa]\nIndex: []""]",[],text2sql,15.245,0.211
