question,answer
Khối lượng học tập tối thiểu một học kỳ chính là bao nhiêu?,Khối lượng học tập tối thiểu trong một học kỳ chính là không ít hơn 10 tín chỉ.
Một học kỳ em được đăng ký tối đa bao nhiêu tín chỉ?,"Trong một học kỳ, sinh viên không được đăng ký vượt quá 28 tín chỉ."
Để xét học bổng khuyến khích thì cần học ít nhất bao nhiêu tín chỉ?,Sinh viên cần học ít nhất là 15 tín chỉ trong học kỳ đó để được xét học bổng khuyến khích.
Sinh viên năm nhất đăng ký môn học thế nào ạ?,"Trong học kỳ đầu tiên, sinh viên năm nhất sẽ học theo thời khóa biểu đã được trường sắp xếp sẵn."
Em có được rút bớt học phần đã đăng ký không?,"Có, sinh viên hoàn toàn được phép rút bớt các học phần đã đăng ký trong thời hạn quy định."
Nếu không đăng ký môn học mà không xin nghỉ học thì sao?,Sinh viên sẽ bị xem như tự ý bỏ học và phải chịu các hình thức xử lý kỷ luật.
Em có được học các môn ngoài chương trình đào tạo không?,Sinh viên có thể học các môn ngoài chương trình để mở rộng kiến thức nhưng phải tuân thủ đúng các quy định về học phí.
Lớp học phần đại cương thường có bao nhiêu sinh viên?,Một lớp học phần đại cương thường có sĩ số khoảng từ 80 đến 120 sinh viên.
Số lượng sinh viên tối thiểu để mở lớp chuyên ngành hẹp là bao nhiêu?,Cần tối thiểu 20 sinh viên để có thể mở một lớp chuyên ngành hẹp.
Nếu lớp học phần không đủ sĩ số thì sao ạ?,"Nếu không đủ sĩ số, lớp học sẽ không được tổ chức và sinh viên buộc phải chuyển sang học phần khác."
Điểm quá trình được tính từ bao nhiêu cột điểm?,Điểm quá trình sẽ được tính toán dựa trên tối thiểu là 3 cột điểm thành phần.
Em vắng thi kiểm tra quá trình không lý do thì tính điểm sao ạ?,Sinh viên sẽ bị nhận điểm 0 nếu vắng thi kiểm tra quá trình mà không có lý do chính đáng.
Tỷ trọng điểm thi cuối kỳ là bao nhiêu phần trăm?,Tỷ trọng điểm thi cuối kỳ đối với mỗi học phần là không được dưới mức 50%.
Trường có tổ chức thi lại không ạ?,Nhà trường hiện nay không tổ chức các kỳ thi lại cho sinh viên.
Lịch thi cuối kỳ được thông báo trước bao lâu?,Lịch thi cuối kỳ sẽ được thông báo đến sinh viên ít nhất là 2 tuần trước khi kỳ thi bắt đầu.
Điểm học phần tính theo thang điểm mấy ạ?,"Điểm học phần được tính theo thang điểm 10, sau đó sẽ quy đổi sang điểm chữ và thang điểm 4."
Điểm A+ tương ứng với bao nhiêu điểm thang 10?,"Mức điểm A+ tương ứng với dải điểm từ 9,0 đến 10 theo thang điểm 10."
Điểm F là mấy điểm và có đạt không ạ?,"Điểm F là dưới 4,0 và mức điểm này được phân loại là không đạt học phần."
"Nếu điểm thi kết thúc học phần dưới 3,0 thì tính sao ạ?","Khi điểm thi kết thúc học phần dưới 3,0, nhà trường sẽ lấy chính điểm thi đó làm điểm tổng kết học phần."
"Điểm chữ ""P"" dùng cho học phần nào?","Điểm chữ ""P"" được dùng dành riêng cho các học phần Giáo dục quốc phòng và Giáo dục thể chất."
"Điểm chữ ""I"" nghĩa là gì ạ?","Điểm chữ ""I"" có nghĩa là điểm chưa hoàn thiện do sinh viên được phép hoãn thi."
Kết quả học kỳ phụ được tính vào đâu ạ?,Kết quả học tập của học kỳ phụ sẽ được gộp chung vào kết quả của học kỳ chính liền trước đó.
Sinh viên năm thứ nhất là người có bao nhiêu tín chỉ?,Người được xếp hạng sinh viên năm thứ nhất là người có dưới 36 tín chỉ tích lũy.
Để được xếp hạng năm thứ ba thì cần bao nhiêu tín chỉ ạ?,"Để được xếp hạng là sinh viên năm thứ ba, bạn cần tích lũy từ 72 đến 107 tín chỉ."
Điểm trung bình bao nhiêu thì được loại Giỏi?,"Sinh viên đạt điểm trung bình từ 3,2 đến cận 3,6 sẽ được xếp loại Giỏi."
GPA bao nhiêu là loại Xuất sắc ạ?,"Sinh viên có mức điểm GPA từ 3,6 đến 4,0 sẽ được xếp loại Xuất sắc."
Khi nào sinh viên bị cảnh báo học tập?,"Sinh viên bị cảnh báo học tập khi điểm trung bình học kỳ dưới 0,8 ở kỳ đầu hoặc dưới 1,0 ở các kỳ sau."
Sinh viên bị thử thách học tập khi nợ bao nhiêu tín chỉ?,Sinh viên bị đưa vào diện thử thách học tập khi số tín chỉ nợ đọng từ đầu khóa vượt quá 24 tín chỉ.
Bị bao nhiêu lần cảnh báo học tập thì bị buộc thôi học?,"Nếu bị cảnh báo học tập 3 lần liên tiếp, sinh viên sẽ bị buộc thôi học."
Thi hộ lần đầu bị xử lý thế nào ạ?,Sinh viên tham gia thi hộ lần đầu sẽ bị xử lý kỷ luật bằng hình thức đình chỉ học tập trong vòng 1 năm.
Nếu sử dụng bằng giả để nhập học thì bị gì không?,Sinh viên sử dụng bằng giả để nhập học sẽ bị buộc thôi học và thu hồi văn bằng nếu đã được cấp.
Điều kiện về điểm rèn luyện để tốt nghiệp là gì?,Điều kiện để tốt nghiệp là điểm rèn luyện toàn khóa của sinh viên phải đạt từ mức trung bình trở lên.
Cần bao nhiêu ngày công tác xã hội để được tốt nghiệp?,"Sinh viên cần hoàn thành đủ số ngày công tác xã hội theo quy định, tối thiểu là 4 ngày."
Vì sao em bị giảm một mức hạng tốt nghiệp?,Bạn sẽ bị giảm một mức hạng tốt nghiệp nếu khối lượng học lại vượt quá 5% tổng số tín chỉ hoặc bị kỷ luật từ mức cảnh cáo trở lên.
Sau khi thôi học bao lâu em vẫn được hoàn thành điều kiện tốt nghiệp?,Sinh viên vẫn được phép hoàn thành các điều kiện tốt nghiệp trong vòng 3 năm kể từ khi thôi học.
Thủ tục nghỉ học tạm thời nộp ở đâu ạ?,Bạn cần nộp các thủ tục liên quan đến nghỉ học tạm thời về Phòng Tuyển sinh và Công tác sinh viên.
Muốn nghỉ học tạm thời phải nộp đơn trước bao lâu?,Bạn phải nộp đơn xin nghỉ học tạm thời chậm nhất là 2 tuần trước khi học kỳ đó kết thúc.
Em có được tự ý nghỉ học quá 1 học kỳ không?,"Không, sinh viên sẽ bị xóa tên khỏi danh sách nếu vắng mặt không phép quá 1 học kỳ."
Điều kiện để được chuyển ngành là gì?,"Để chuyển ngành, sinh viên không được là sinh viên năm nhất hay năm cuối, phải đạt điểm trúng tuyển ngành mới và được Hiệu trưởng đồng ý."
Có được chuyển từ hệ chính quy sang vừa làm vừa học không?,"Có, sinh viên được phép chuyển sang hệ vừa làm vừa học nếu vẫn còn đủ thời gian học tập theo quy định."
Khi nào em được đăng ký học cùng lúc hai chương trình?,Sinh viên có thể đăng ký học song song hai chương trình sau khi hoàn thành học kỳ 1 năm thứ nhất và không bị cảnh báo học tập.
Đối tượng nào được miễn 100% học phí ạ?,"Các đối tượng được miễn 100% học phí gồm sinh viên khuyết tật, người dân tộc thiểu số rất ít người và những người thuộc diện chính sách ưu đãi."
Con của người có công với cách mạng được hưởng gì?,Con của người có công với cách mạng sẽ được hưởng chính sách miễn học phí theo các quy định của Pháp lệnh ưu đãi.
Sinh viên dân tộc thiểu số hộ nghèo được giảm bao nhiêu học phí?,Sinh viên là người dân tộc thiểu số thuộc hộ nghèo sẽ được nhà trường giảm 70% học phí.
Có trường hợp nào được giảm 50% học phí không ạ?,"Có, con của cán bộ hoặc công chức bị tai nạn lao động hoặc bệnh nghề nghiệp đang hưởng trợ cấp thường xuyên sẽ được giảm 50% học phí."
Học lại có được miễn giảm học phí không ạ?,Chính sách miễn giảm học phí không được áp dụng đối với các học phần mà sinh viên đăng ký học lại hoặc học cải thiện.
Thời hạn nộp hồ sơ miễn giảm học phí là khi nào?,Sinh viên cần hoàn thành và nộp hồ sơ miễn giảm học phí trong vòng 35 ngày làm việc kể từ ngày bắt đầu học kỳ.
Quy trình miễn giảm học phí bắt đầu từ đâu?,Quy trình miễn giảm học phí bắt đầu bằng việc sinh viên nộp hồ sơ trực tiếp tại Văn phòng Khoa hoặc Viện quản lý.
Mức trợ cấp xã hội cho sinh viên mồ côi là bao nhiêu?,Sinh viên mồ côi cả cha lẫn mẹ sẽ nhận được mức trợ cấp xã hội là 140.000 đồng mỗi tháng.
Sinh viên dân tộc thiểu số vùng cao được trợ cấp bao nhiêu?,Sinh viên là người dân tộc thiểu số ở vùng cao sẽ nhận được mức trợ cấp là 100.000 đồng cho mỗi tháng.
Trợ cấp xã hội được cấp mấy tháng trong một học kỳ?,Khoản trợ cấp xã hội dành cho sinh viên sẽ được cấp 6 tháng cho mỗi học kỳ.
Hệ sư phạm được hỗ trợ học phí trong bao lâu?,Sinh viên theo học hệ sư phạm sẽ được Nhà nước hỗ trợ học phí trong toàn bộ khóa học kéo dài 8 học kỳ chính.
Sinh viên sư phạm có được hỗ trợ chi phí sinh hoạt không?,"Có, sinh viên sư phạm sẽ được hỗ trợ chi phí sinh hoạt hàng tháng nhưng thời gian nhận không quá 10 tháng mỗi năm."
Khi nào sinh viên sư phạm phải bồi hoàn kinh phí?,"Sinh viên sư phạm phải bồi hoàn kinh phí nếu chuyển ngành, thôi học hoặc sau 2 năm tốt nghiệp mà không công tác trong ngành giáo dục."
Mức hỗ trợ chi phí học tập cho SV dân tộc thiểu số hộ nghèo là bao nhiêu?,Mức hỗ trợ chi phí học tập dành cho sinh viên dân tộc thiểu số thuộc hộ nghèo bằng 60% mức lương cơ sở.
Hồ sơ hỗ trợ chi phí học tập nộp vào lúc nào?,Bạn cần nộp hồ sơ đề nghị hỗ trợ chi phí học tập trong vòng 30 ngày làm việc kể từ khi bắt đầu học kỳ.
Học bổng khuyến khích học tập dành cho ai?,Học bổng khuyến khích học tập được dành cho những sinh viên hệ chính quy có kết quả học tập và rèn luyện đạt từ loại Khá trở lên.
Học bổng loại Xuất sắc có giá trị thế nào ạ?,"Giá trị của học bổng loại Xuất sắc bằng 1,3 lần so với mức học bổng dành cho loại Khá."
Để nhận học bổng loại Khá cần điểm học tập bao nhiêu?,"Để nhận được học bổng loại Khá, bạn cần có điểm trung bình học tập từ 7,0 trở lên và điểm rèn luyện từ 70 trở lên."
Ưu tiên xét học bổng khuyến khích theo tiêu chí nào trước?,"Nhà trường sẽ ưu tiên xét theo loại học bổng từ A đến C trước, sau đó mới căn cứ đến điểm trung bình học tập."
Học bổng khuyến tài dành cho đối tượng nào ạ?,Học bổng khuyến tài là phần thưởng dành riêng cho các tân sinh viên đạt thành tích là Thủ khoa của ngành.
Tiêu chuẩn điểm để nhận học bổng khuyến tài là gì?,"Để nhận học bổng khuyến tài, tân sinh viên cần có tổng điểm 3 môn xét tuyển từ 26 điểm trở lên, không tính điểm ưu tiên."
Giá trị học bổng khuyến tài tính thế nào ạ?,Giá trị của học bổng khuyến tài được tính bằng tổng điểm thi 3 môn xét tuyển nhân với 1.000.000 đồng cho mỗi điểm.
Học bổng khuyến tài được cấp trong bao lâu?,Sinh viên sẽ được nhận học bổng khuyến tài trong suốt 04 học kỳ đầu tiên của khóa học.
Học bổng nữ sinh kỹ thuật áp dụng cho các ngành nào?,Học bổng này áp dụng cho 06 ngành kỹ thuật có tỷ lệ sinh viên nữ đang theo học dưới 3%.
Mức học bổng nữ sinh kỹ thuật là bao nhiêu ạ?,Mức học bổng dành cho nữ sinh ngành kỹ thuật tương đương với 50% học phí của học kỳ đầu tiên.
Điều kiện duy trì học bổng nữ sinh kỹ thuật là gì?,"Để duy trì học bổng, sinh viên cần đạt điểm học tập kỳ trước từ 8,0 và điểm rèn luyện từ 80 trở lên."
Học bổng truyền thống HCMUTE dành cho ai ạ?,"Học bổng truyền thống dành cho sinh viên có anh, chị hoặc em ruột hiện đang học hoặc đã tốt nghiệp tại trường."
Giá trị học bổng truyền thống là bao nhiêu?,Học bổng truyền thống có giá trị tương đương với 20% học phí của học kỳ đầu tiên.
Học bổng sinh viên tài năng dành cho sinh viên năm mấy?,Chương trình học bổng sinh viên tài năng được dành cho sinh viên từ năm thứ 2 đến năm thứ 4.
Mỗi Khoa được giới thiệu bao nhiêu sinh viên tài năng?,Mỗi Khoa chỉ được phép giới thiệu duy nhất 01 sinh viên có điểm học tập cao nhất để xét học bổng tài năng.
Học bổng sinh viên tài năng trị giá bao nhiêu tiền?,Mỗi suất học bổng dành cho sinh viên tài năng có trị giá là 30.000.000 đồng.
SV không chuyên ngữ đạt IELTS bao nhiêu thì được thưởng?,"Sinh viên không chuyên ngữ đạt điểm IELTS quốc tế từ 6,5 trở lên sẽ được nhà trường khen thưởng."
Mức thưởng cho chứng chỉ ngoại ngữ quốc tế là bao nhiêu?,Sinh viên đạt thành tích ngoại ngữ sẽ được nhận mức thưởng 2.500.000 đồng và chỉ được cấp một lần duy nhất.
Tham gia trao đổi văn hóa quốc tế lần đầu được hỗ trợ bao nhiêu?,Sinh viên tham gia chương trình trao đổi văn hóa quốc tế lần đầu tiên sẽ được trường hỗ trợ 5.000.000 đồng.
Trường hỗ trợ vé máy bay cho SV đi nghiên cứu nước ngoài bao nhiêu?,Nhà trường hỗ trợ tối đa 10.000.000 đồng tiền vé máy bay cho sinh viên đi nghiên cứu hoặc làm đồ án ở nước ngoài.
SV quốc tế đến trao đổi được hỗ trợ gì?,Các sinh viên quốc tế đến trường trao đổi sẽ được hỗ trợ chi phí ở ký túc xá và có xe đưa đón tại sân bay.
Hồ sơ trợ cấp khó khăn đột xuất nộp ở đâu?,Bạn cần nộp hồ sơ xin trợ cấp khó khăn đột xuất về Văn phòng Khoa hoặc Viện nơi quản lý sinh viên.
Điểm rèn luyện dùng để làm gì vậy ạ?,"Điểm rèn luyện được sử dụng làm căn cứ để xét học bổng, khen thưởng, kỷ luật, nội trú và các cơ hội việc làm."
Nếu xếp loại rèn luyện Kém 2 kỳ liên tiếp thì bị gì?,Nếu sinh viên bị xếp loại rèn luyện kém trong hai học kỳ liên tiếp thì sẽ bị nhà trường buộc thôi học.
Điểm rèn luyện bao nhiêu là loại Tốt ạ?,Sinh viên có điểm rèn luyện đạt từ 80 đến dưới 90 điểm sẽ được xếp loại Tốt.
Sinh viên khiếu nại điểm rèn luyện vào lúc nào?,Sinh viên có quyền thực hiện khiếu nại về điểm rèn luyện vào tuần thứ ba của học kỳ tiếp theo.
Không xác nhận điểm rèn luyện online bị trừ bao nhiêu điểm?,Nếu sinh viên không thực hiện xác nhận điểm rèn luyện trực tuyến theo quy định sẽ bị trừ 10 điểm.
GPA học tập loại Xuất sắc được cộng bao nhiêu điểm rèn luyện?,Sinh viên có kết quả học tập đạt loại Xuất sắc sẽ được cộng thêm 18 điểm vào điểm rèn luyện.
Là thành viên CLB cấp trường được cộng mấy điểm rèn luyện?,"Khi là thành viên của các Câu lạc bộ cấp trường, sinh viên sẽ được cộng 2 điểm cho mỗi đơn vị tham gia."
Có bài báo đăng tạp chí quốc tế được cộng bao nhiêu điểm?,Sinh viên có bài báo khoa học được đăng trên các tạp chí quốc tế sẽ được cộng 10 điểm rèn luyện.
Bị cấm thi một môn bị trừ bao nhiêu điểm rèn luyện?,Sinh viên sẽ bị trừ 5 điểm rèn luyện nếu vi phạm quy định dẫn đến bị cấm thi một môn học.
Đi muộn giờ học bị trừ bao nhiêu điểm ạ?,"Mỗi lần vi phạm việc đi học muộn, sinh viên sẽ bị trừ 1 điểm rèn luyện."
Học hộ người khác bị trừ bao nhiêu điểm rèn luyện?,Hành vi học hộ người khác nếu vi phạm lần đầu sẽ bị nhà trường trừ 4 điểm rèn luyện.
Thực hiện tốt nội quy trường được cộng bao nhiêu điểm?,Sinh viên thực hiện tốt các nội quy và quy định của nhà trường sẽ được cộng tối đa 25 điểm rèn luyện.
Không tham gia sinh hoạt lớp bị trừ mấy điểm ạ?,"Với mỗi lần vắng mặt trong các buổi sinh hoạt lớp, sinh viên sẽ bị nhà trường trừ 2 điểm."
Đạt giải Nhất NCKH cấp trường được cộng mấy điểm thưởng rèn luyện?,Sinh viên đạt giải Nhất trong kỳ thi Nghiên cứu khoa học cấp trường sẽ được cộng thêm 3 điểm thưởng vào điểm rèn luyện.
Đảng viên hoàn thành nhiệm vụ được cộng mấy điểm rèn luyện?,Các bạn sinh viên là Đảng viên hoàn thành tốt nhiệm vụ sẽ được cộng 2 điểm rèn luyện cho mỗi học kỳ.
Làm lớp trưởng được cộng bao nhiêu điểm rèn luyện?,Sinh viên giữ chức vụ lớp trưởng và hoàn thành tốt nhiệm vụ sẽ được cộng 6 điểm rèn luyện mỗi học kỳ.
Hoạt động công tác xã hội (CTXH) là gì?,"Công tác xã hội là các hoạt động mà sinh viên tham gia nhằm hỗ trợ cá nhân, gia đình cũng như góp phần phát triển cộng đồng."
10 điểm CTXH quy đổi thành bao nhiêu ngày CTXH?,Cứ mỗi 10 điểm công tác xã hội tích lũy được sẽ tương đương với 01 ngày công tác xã hội.
Sinh viên phải tích lũy bao nhiêu điểm CTXH để tốt nghiệp?,"Để đủ điều kiện xét tốt nghiệp, sinh viên cần phải tích lũy ít nhất 40 điểm công tác xã hội, tương đương với 4 ngày."
Tham gia Mùa hè xanh tại tỉnh được cộng mấy ngày CTXH?,"Khi tham gia chiến dịch Mùa hè xanh tại các tỉnh, sinh viên sẽ được cộng từ 2 đến 4 ngày công tác xã hội."
Trực tiếp hiến máu tình nguyện được bao nhiêu điểm CTXH?,"Mỗi lần trực tiếp tham gia hiến máu tình nguyện, sinh viên sẽ được cộng 5 điểm, tương đương với 0,5 ngày công tác xã hội."
Tư vấn hướng nghiệp tại trường cũ được cộng bao nhiêu ngày?,Hoạt động về thăm và tư vấn hướng nghiệp tại trường THPT cũ sẽ giúp sinh viên tích lũy từ 1 đến 2 ngày công tác xã hội.
"Tham gia ""Tiếp sức mùa thi"" 2 tuần được mấy ngày CTXH?",
Tham gia Ngày chủ nhật xanh được cộng bao nhiêu ngày CTXH?,"Mỗi buổi tham gia hoạt động Ngày chủ nhật xanh, sinh viên sẽ được cộng thêm 0,5 ngày công tác xã hội."
Đăng ký CTXH mà bỏ không lý do bị trừ bao nhiêu?,"Nếu sinh viên đã đăng ký tham gia công tác xã hội nhưng lại bỏ mà không có lý do chính đáng sẽ bị trừ 0,5 ngày CTXH."
Cán bộ Đoàn cấp trường được cộng tối đa mấy ngày CTXH một năm?,Sinh viên giữ vai trò cán bộ Đoàn cấp trường có thể được cộng tối đa là 4 ngày công tác xã hội trong một năm học.
Đạt giải Nhất thi tay nghề quốc tế được mấy ngày CTXH?,"Thành tích đạt giải Nhất trong kỳ thi tay nghề quốc tế sẽ được quy đổi từ 1,5 đến 3 ngày công tác xã hội cho sinh viên."
Thủ khoa tuyển sinh đầu vào được thưởng bao nhiêu?,Tân sinh viên đạt danh hiệu Thủ khoa đầu vào sẽ được tặng giấy khen cùng tiền thưởng trị giá 2.000.000 đồng.
SV đạt giải Nhất NCKH cấp Quốc gia được thưởng bao nhiêu?,Giải Nhất Nghiên cứu khoa học cấp Quốc gia có mức thưởng là 2.000.000 đồng cho cá nhân và 5.000.000 đồng cho tập thể.
Giải Nhất Olympic cấp trường thưởng bao nhiêu tiền ạ?,Sinh viên đạt giải Nhất trong các kỳ thi Olympic cấp trường sẽ nhận được phần thưởng trị giá 1.000.000 đồng.
"Danh hiệu ""Sinh viên 5 tốt"" cấp Trung ương được thưởng bao nhiêu?",
Lớp sinh viên tiên tiến cần có bao nhiêu phần trăm SV khá trở lên?,"Để đạt danh hiệu lớp sinh viên tiên tiến, lớp cần có ít nhất 20% tổng số sinh viên đạt xếp loại học tập từ mức Khá trở lên."
SV tốt nghiệp Thủ khoa ngành được thưởng thêm bao nhiêu?,Sinh viên tốt nghiệp đạt danh hiệu Thủ khoa của ngành sẽ được nhà trường trao thưởng thêm 300.000 đồng.
Tốt nghiệp trước thời hạn đạt loại Giỏi được thưởng bao nhiêu?,Sinh viên tốt nghiệp trước thời hạn thiết kế và đạt loại Giỏi trở lên sẽ được nhận thêm mức thưởng 300.000 đồng.
Giải thưởng Sao tháng giêng trị giá bao nhiêu tiền?,Mỗi suất giải thưởng Sao tháng giêng trao tặng cho sinh viên có trị giá là 2.500.000 đồng.
