id,question,answer,relevant_doc_ids
11,HCMUTE có chương trình đào tạo liên kết quốc tế không?,"Năm 2025, trường Đại học Sư phạm kỹ thuật TP.HCM có đào tạo các chương trình liên kết với các trường đại học danh tiếng trên thế giới, gồm:
Chương trình liên kết đào tạo với ĐH Sunderland (UoS) - Anh Quốc, cấp bằng bởi Đại học Sunderland gồm các ngành: 

Kỹ thuật Điện - Điện tử

Quản trị Kinh doanh

Chương trình liên kết đào tạo với ĐH Northampton (UoN) - Anh Quốc, cấp bằng bởi Đại học Northampton gồm các ngành:

Logistics và Tài chính Thương mại 

Chương trình liên kết đào tạo với ĐH Tongmyong (TU) - Hàn Quốc gồm các ngành:

Công nghệ Kỹ thuật Ô tô

Công nghệ Kỹ thuật Cơ khí

Công nghệ Thông tin

Chương trình liên kết đào tạo với ĐH Kettering (KU) - Mỹ, gồm các ngành:

Quản trị Kinh doanh

Kỹ thuật Điện - Điện tử

Kỹ thuật Cơ khí

Kỹ thuật Máy tính

Kỹ thuật Chế tạo máy và Công nghiệp

Chương trình liên kết đào tạo với ĐH Adelaide (UoA) - Úc, gồm các ngành:

Kỹ thuật Xây dựng

Công nghệ Thông tin

Chương trình Liên kết đào tạo với ĐH Griffith (UoG) - Úc, gồm các ngành:

Công nghệ Kỹ thuật Cơ khí

Chương trình liên kết đào tạo với ĐH ESSC, gồm các ngành:

Quản lý Quốc tế",
12,Nếu em bị trượt nguyện vọng 1 thì có được xét nguyện vọng 2 trong cùng trường không?,"Nếu em đăng ký 2 nguyện vọng cùng trường, thì khi nguyện vọng 1 không đủ điều kiện trúng tuyển, hệ thống sẽ tự động xét tiếp đến nguyện vọng 2.",
13,Trường có hệ đào tạo chất lượng cao không? Học phí thế nào?,"Hiện tại Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh (HCMUTE) không còn tuyển sinh hệ đào tạo chất lượng cao. Năm 2025, trường chỉ đào tạo các chương trình bao gồm: chương trình Tiếng Việt, chương trình tiếng Anh và chương trình Việt - Nhật.

Năm 2024, học phí đối với các ngành thuộc:

Chương trình tiếng Việt từ 14.625.000 - 16.000.000/học kỳ

Chương trình tiếng Anh: 29.000.000/học kỳ

Chương trình Việt - Nhật: 24.500.000/học kỳ",
14,HCMUTE có hỗ trợ tư vấn chọn ngành cho thí sinh không?,"Trường Đại học Sư phạm Kỹ thuật TP.HCM (HCMUTE) có hỗ trợ tư vấn chọn ngành cho thí sinh qua nhiều kênh khác nhau. 
Thí sinh có thể gặp để được tư vấn trực tiếp tại Phòng Tuyển sinh và Công tác sinh viên (Số 01 Võ Văn Ngân, P. Linh Chiểu, TP. Thủ Đức, TP.HCM) hoặc liên hệ qua hotline: 028.3722.5724. 
Ngoài ra, trường còn tư vấn online qua trang Facebook Tuyển sinh Đại học Sư phạm Kỹ thuật TP.HCM. Trường Đại học Sư phạm Kỹ thuật TP.HCM cũng tổ chức ngày hội tư vấn tuyển sinh, các buổi tư vấn tư vấn tuyển sinh ở các trường THPT, livestream tư vấn và có các chuyên viên tuyển sinh hỗ trợ giúp thí sinh chọn ngành phù hợp với sở thích và năng lực.
Hoạt động tư vấn hướng nghiệp và tuyển sinh đóng vai trò quan trọng trong việc hỗ trợ thí sinh hiểu rõ về quy trình tuyển sinh, các cơ hội học vụ và đưa ra lựa chọn phù hợp với năng lực và sở thích của thí sinh. 
Trường Đại học Sư phạm Kỹ thuật TP.HCM tự hào khi có một đội ngũ tư vấn viên tư vấn hướng nghiệp và tuyển sinh chuyên nghiệp: 
Tổng Đài: 028. 3722 5724 - 028. 3896 1333 

Hotline tư vấn hướng nghiệp tuyển sinh chung: 
Họ và tên tư vấn viên Chức vụ Điện thoại 
Thầy Nguyễn Hữu Tùng Chuyên viên phụ trách tuyển sinh 0946 939 128 
Thầy Trần Trung Hậu Chuyên viên phụ trách tuyển sinh 0983 469 719 
Thầy Lê Thanh Hữu Chuyên viên tư vấn tuyển sinh 0908 204 600 
Cô Phạm Thị Thúy Hạnh Chuyên viên tư vấn tuyển sinh 090 851 2713 
Cô Phan Vũ Thanh Thảo Chuyên viên tư vấn tuyển sinh 093 812 7996 
Cô Trần Thị Hoa Chuyên viên tư vấn tuyển sinh 0389 695 970 
Thầy Đặng Hữu Khanh Phó Trưởng phòng Tuyển sinh và CTSV 0919 850 721 
Thầy Lê Quang Bình Phó Trưởng phòng Tuyển sinh và CTSV 0938 775 001 
Cô Nguyễn Phương Thúy Phó Trưởng phòng Tuyển sinh và CTSV 0988 881 540 
Cô Phạm Thị Thu Sương Phó Trưởng phòng Đào tạo 0933 951 041 
Thầy Trần Thanh Thưởng Trưởng phòng Tuyển sinh và CTSV 0902 043 979 
Thầy Võ Viết Cường Trưởng phòng Đào tạo 0986 523 475 
",
15,Xét tuyển học bạ có cần điều kiện gì đặc biệt không?,"Có một số điều kiện đặc biệt mà thí sinh cần lưu ý khi xét học bạ:
- Thí sinh Tốt nghiệp THPT năm 2025.
- Tổng điểm trung bình học bạ cả năm 3 năm học THPT của 3 môn trong tổ hợp xét tuyển phải đạt ngưỡng đảm bảo chất lượng đầu vào
- Riêng đối với các ngành Thiết kế đồ họa, Thiết kế thời trang, Kiến trúc, Kiến trúc nội thất: yêu cầu điểm thi năng khiếu do trường tổ chức (hoặc thí sinh có thể chuyển điểm từ kết quả thi môn năng khiếu của các trường Đại học Kiến trúc TP.HCM, trường Đại học Mỹ Thuật TP.HCM trong thời gian quy định của nhà trường)",
16,Trường có xét tuyển dựa vào kết quả kỳ thi Đánh giá năng lực (ĐGNL) của ĐHQG TP.HCM không?,"Năm 2025, Trường Đại học Sư phạm Kỹ thuật TP.HCM (HCMUTE) có xét tuyển theo kết quả kỳ thi Đánh giá năng lực (ĐGNL) của ĐHQG TP.HCM",
17,"Nếu em thi tốt nghiệp THPT nhưng điểm thấp, có cách nào vào HCMUTE không?","Ngoài phương thức xét kết quả thi THPT, trường còn các phương thức ưu tiên xét tuyển, xét tuyển bằng học bạ, xét bằng điểm thi ĐGNL.Thí sinh có thể xét đồng thời xét nhiều phương thức để tăng cơ hội trúng tuyển vào trường.",
18,Trường có ưu tiên tuyển thẳng cho học sinh giỏi không?,Trường Đại học Sư phạm Kỹ thuật TP.HCM có ưu tiên xét tuyển thẳng đối với thí sinh đạt học sinh giỏi từ 3 học kỳ trở lên,
19,"HCMUTE có xét tuyển theo chứng chỉ quốc tế như IELTS, SAT không?",Thí sinh có chứng chỉ Ielts có thể sử dụng để quy đổi điểm tiếng anh để xét tuyển các tổ hợp có môn tiếng anh thông qua hệ thống quy đổi.,
20,Khi nào em có thể đăng ký xét tuyển học bạ?,"Xét tuyển học bạ THPT là phương thức xét tuyển dành cho thí sinh tốt nghiệp năm 2025 căn cứ vào điểm trung bình học bạ 3 năm học THPT của từng môn theo tổ hợp xét tuyển. 
Thời gian Trường xét tuyển học bạ sẽ theo quy định của Bộ Giáo dục và đào tạo (từ ngày 16/7/2025 đến 17h ngày 28/7/2025), thí sinh đăng ký xét học bạ THPT trên hệ thống phần mềm xét tuyển của Bộ GD&ĐT: https://thisinh.thitotnghiepthpt.edu.vn
Trường hợp thí sinh thuộc các đối tượng ưu tiên được cộng thêm điểm của HCMUTE, thí sinh đăng ký, khai báo minh chứng để được ưu tiên cộng thêm điểm xét tuyển tại trang https://xettuyen.hcmute.edu.vn từ tháng 6 theo thông báo của nhà trường.",
21,"Nếu đã trúng tuyển học bạ, em có bắt buộc nhập học không?","Khi em đã đăng ký xét tuyển vào hệ thống đăng ký nguyện vọng của Bộ GD&ĐT, trường hợp em trúng tuyển nhưng không có nguyện vọng học, em được quyền không xác nhận nhập học để xét tuyển các đợt tiếp theo.
Tuy nhiên, em lưu ý rằng các trường ĐH lớn thường tuyển đủ chỉ tiêu ở đợt 1, vì thế, khi em đã trúng tuyển (dù phương thức nào) thì nên nhập học.",
22,Nếu em xét tuyển bằng nhiều phương thức thì khi nào biết kết quả?,Kết quả trúng tuyển theo lịch của bộ giáo dục đề ra,
23,Khi nào em có thể điều chỉnh nguyện vọng xét tuyển?,"Sau khi có kết quả xét công nhận tốt nghiệp THPT, các thí sinh được điều chỉnh nguyện vọng không hạn chế số lần trên hệ thống của Bộ Giáo dục và Đào tạo.",
24,HCMUTE có hỗ trợ sinh viên tìm việc làm sau khi ra trường không?,Trường có trung tâm dịch vụ sinh viên luôn tìm kiếm và giới thiệu việc làm thêm cho các sinh viên miễn phí.,
25,Tỷ lệ sinh viên có việc làm sau tốt nghiệp của các ngành là bao nhiêu?,"Tỷ lệ sinh viên sau khi tốt nghiệp của các ngành có việc là rất cao, trên 90%.",
26,Trường có liên kết với doanh nghiệp nào để tạo cơ hội thực tập không?,Trường có tiến hành ký kết với các doanh nghiệp để thực hiện hóa tiềm năng thị trường phần mềm và các ứng dụng quản trị doanh nghiệp.,
27,HCMUTE có chương trình học bổng cho sinh viên xuất sắc không?,"Năm 2025 Trường dành ra 60 tỷ đồng để cấp học bổng cho sinh viên và sinh viên ngành sư phạm được miễn phí học phí trong 4 năm và còn được nhận tiền sinh hoạt phí 3,6 triệu đồng trên một tháng",
28,"Nếu học ngành kỹ thuật, em có thể làm việc ở lĩnh vực nào ngoài chuyên ngành không?",Em học ngành kĩ thuật có thể làm việc ngoài chuyên ngành hoặc có thể học cùng 1 lúc hai văn bằng,
29,HCMUTE có chương trình thực tập nước ngoài không?,"Trường Đại học Sư phạm Kỹ thuật TP.HCM (HCMUTE) có các chương trình hợp tác quốc tế, tạo điều kiện cho sinh viên tham gia thực tập và trao đổi ở nước ngoài. Thông tin chi tiết về các chương trình này có thể được tìm thấy trên trang web chính thức của trường hoặc liên hệ trực tiếp với phòng Quan hệ Quốc tế của HCMUTE: https://oia.hcmute.edu.vn/.",
30,Sinh viên có thể khởi nghiệp khi còn học không?,"Có. HCMUTE khuyến khích tinh thần khởi nghiệp bằng cách tổ chức các cuộc thi ý tưởng kinh doanh, thành lập trung tâm hỗ trợ khởi nghiệp và cung cấp các khóa đào tạo về quản trị kinh doanh cũng như kỹ năng mềm. Nhờ đó, sinh viên có thể bắt đầu khởi nghiệp ngay trong quá trình học tập.",
31,Em muốn làm việc tại Nhật Bản sau khi tốt nghiệp thì nên chọn ngành nào?,"Để có cơ hội làm việc tại Nhật Bản, HCMUTE có nhiều ngành đào tạo có liên kết quốc tế, trong đó:
Ngành Công nghệ thông tin và Kỹ thuật tự động hóa được đánh giá cao nhờ hợp tác với các trường và doanh nghiệp Nhật Bản.
Ngoài ra, ngành Kỹ thuật cơ khí với trọng tâm về sản xuất ô tô cũng là lựa chọn tốt, khi Nhật Bản nổi tiếng với ngành công nghiệp ô tô, tuy nhiên bạn cần có nền tảng toán – lý vững chắc.",
32,"Em muốn làm kỹ sư ô tô nhưng không giỏi Toán, có nên chọn ngành này không?","Để trở thành kỹ sư ô tô, kiến thức toán học và vật lý rất quan trọng trong việc thiết kế, mô phỏng và tối ưu hóa các hệ thống. Tại HCMUTE, ngành Kỹ thuật cơ khí – ô tô được đào tạo bài bản với nhiều kiến thức chuyên sâu. Nếu Toán học là điểm yếu, bạn cần cân nhắc nâng cao năng lực nền tảng trước khi quyết định hoặc tham gia các lớp bồi dưỡng để có thể theo kịp chương trình đào tạo.",
