question,ground_truth_answer,complexity
Sư phạm tiếng Anh năm 2023 điểm là bao nhiêu vậy ạ?,Điểm ngành Sư phạm tiếng Anh (CTĐT Tiếng Việt) năm 2023 là 27.2.,easy
Khoa Điện - Điện tử năm 2023 có ngành nào và điểm chuẩn là bao nhiêu?,"Các ngành và điểm chuẩn năm 2023 tại Khoa Điện - Điện tử: 
- Công nghệ kỹ thuật điện tử, viễn thông (CTĐT Tiếng Việt): 26.1.
- Kỹ thuật y sinh (Điện tử y sinh) (đào tạo bằng tiếng Anh): 22.15.",medium
Khoa In và Truyền thông năm 2023 có những ngành nào và điểm chuẩn là bao nhiêu vậy ạ?,"Các ngành và điểm chuẩn năm 2023 tại Khoa In và Truyền thông: 
- Công nghệ kỹ thuật in (CTĐT Tiếng Việt): 20.5
- Thiết kế đồ họa (CTĐT Tiếng Việt): 24.3.",medium
Điểm chuẩn ngành CNTT năm 2024 là bao nhiêu nhỉ?,Điểm ngành Công nghệ thông tin (CTĐT Tiếng Việt) năm 2024 là 25.97.,easy
Thiết kế đồ họa năm 2025 điểm là bao nhiêu ạ?,Điểm ngành Thiết kế đồ họa (đào tạo bằng tiếng Việt) năm 2025 là 24.6.,easy
Công nghệ kỹ thuật cơ khí (đào tạo bằng tiếng Anh) năm 2023 điểm là bao nhiêu ạ?,Điểm chuẩn là 23.2.,easy
Quản lý công nghiệp năm 2022 điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn là 23.75.,easy
Năm 2025 ngành nào điểm cao nhất và thấp nhất vậy ạ?,"Điểm cao nhất là Sư phạm tiếng Anh với 29.57, còn điểm thấp nhất là Kỹ nghệ gỗ và nội thất với 21.10.",hard
Công nghệ thông tin (đào tạo bằng tiếng Anh) năm 2025 điểm là bao nhiêu ạ?,Điểm chuẩn là 26.4.,easy
Logistic và quản lý chuỗi cung ứng năm 2023 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn là 25.75.,easy
Quản lý công nghiệp năm 2023 điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn là 25.7.,easy
Công nghệ thực phẩm (đào tạo bằng tiếng Anh) năm 2023 điểm là bao nhiêu ạ?,Điểm chuẩn là 21.1.,easy
Năm 2024 ngành nào có điểm cao nhất và thấp nhất vậy ạ?,"Điểm cao nhất là Sư phạm tiếng Anh với 27.50, còn điểm thấp nhất là Kỹ nghệ gỗ và nội thất với 20.50.",hard
Công nghệ kỹ thuật môi trường năm 2024 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn là 22.0.,easy
Khoa Thời trang và Du lịch năm 2024 có những ngành nào và điểm chuẩn là bao nhiêu ạ?,"Các ngành bao gồm: Công nghệ may 21.41, Quản trị nhà hàng và dịch vụ ăn uống 23.27, Thiết kế thời trang 24.80.",medium
Công nghệ Kỹ thuật cơ khí (đào tạo bằng tiếng Việt) năm 2025 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn là 26.45.,easy
Ngành Công nghệ vật liệu năm 2025 điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn là 24.55.,easy
Ngành Ngôn ngữ Anh (đào tạo bằng tiếng Việt) năm 2025 điểm là bao nhiêu ạ?,Điểm chuẩn là 26.6.,easy
Năm 2025 khoa Công nghệ Hóa học và Thực phẩm có những ngành nào và điểm chuẩn là bao nhiêu vậy ạ?,"Các ngành tại Khoa Công nghệ Hóa học và Thực phẩm năm 2025 và điểm chuẩn:
- Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Anh): 24.10
- Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt): 28.35
- Công nghệ Kỹ thuật môi trường (đào tạo bằng tiếng Việt): 23.10
- Công nghệ thực phẩm (đào tạo bằng tiếng Anh): 22.00
- Chương trình đào tạo Khoa học thực phẩm & Dinh dưỡng (thuộc ngành Công nghệ thực phẩm) (đào tạo bằng tiếng Việt): 22.15
- Công nghệ thực phẩm (đào tạo bằng tiếng Việt): 24.85
- Chương trình đào tạo Môi trường và Phát triển bền vững (thuộc ngành Quản lý tài nguyên & môi trường) (đào tạo bằng tiếng Việt): 21.25",medium
Em muốn biết điểm chuẩn ngành Công nghệ thực phẩm năm 2024 là bao nhiêu ạ?,"Điểm chuẩn ngành Công nghệ thực phẩm năm 2024:
- Công nghệ thực phẩm (đào tạo bằng tiếng Việt): 24.2
- Công nghệ thực phẩm (đào tạo bằng tiếng Anh): 22.5",medium
Điểm chuẩn ngành Kiến trúc năm 2022 là bao nhiêu vậy ạ?,Điểm chuẩn ngành Kiến trúc (CTĐT Tiếng Việt) năm 2022 là 22.0.,easy
Công nghệ kỹ thuật ô tô năm 2024 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật ô tô (CTĐT Việt - Nhật) năm 2024 là 25.0.,easy
Khoa cơ khí động lực năm 2023 có ngành nào và điểm chuẩn là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Việt) năm 2023 là 23.33.,easy
Công nghệ thực phẩm (đào tạo bằng tiếng Việt) năm 2023 điểm là bao nhiêu nhỉ?,Điểm chuẩn ngành Công nghệ thực phẩm (CTĐT Tiếng Việt) năm 2023 là 24.3.,easy
Hệ thống nhúng và IoT năm 2025 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Hệ thống nhúng và IoT (đào tạo bằng tiếng Việt) năm 2025 là 25.9.,easy
Những ngành nào có điểm cao nhất và thấp nhất năm 2023 vậy ạ?,"Điểm cao nhất năm 2023:
- Kinh doanh Quốc tế (CTĐT Tiếng Việt): 27.25
Điểm thấp nhất năm 2023:
- Kỹ nghệ gỗ và nội thất (CTĐT Tiếng Việt): 19.00.",hard
Năm 2022 có những ngành nào có điểm từ 24 trở lên ạ?,"Các ngành có điểm từ 24 trở lên năm 2022:
- Công nghệ thông tin (CTĐT Tiếng Việt): 26.75
- Công nghệ thông tin (CTĐT Tiếng Anh): 26.35
- Công nghệ kỹ thuật cơ khí (CTĐT Tiếng Việt): 26.15
- Kỹ thuật dữ liệu (CTĐT Tiếng Việt): 26.10
- Sư phạm tiếng Anh (CTĐT Tiếng Việt): 26.08
- Thương mại điện tử (CTĐT Tiếng Việt): 26.00
- Robot và trí tuệ nhân tạo (CTĐT Tiếng Việt): 26.00
- An toàn Thông tin (CTĐT Tiếng Việt): 26.00
- Công nghệ kỹ thuật máy tính (CTĐT Tiếng Việt): 25.75
- Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt): 25.70.",hard
Em muốn biết điểm chuẩn ngành Công nghệ Hóa học năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật hóa học (CTĐT Tiếng Việt) năm 2024 là 24.9.,easy
Năm 2025 khoa Thời trang và Du lịch có những ngành nào và điểm chuẩn là bao nhiêu ạ?,"Các ngành tại Khoa Thời trang và Du lịch năm 2025 và điểm chuẩn:
- Thiết kế thời trang (đào tạo bằng tiếng Việt): 22.70
- Công nghệ may (đào tạo bằng tiếng Việt): 22.00
- Quản trị NH và DV ăn uống (đào tạo bằng tiếng Việt): 23.35.",medium
Điểm chuẩn ngành Công nghệ may năm 2022 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ may (CTĐT Tiếng Việt) năm 2022 là 23.25.,easy
Em muốn biết điểm chuẩn ngành Công nghệ kỹ thuật điều khiển và tự động hóa năm 2022 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt) năm 2022 là 25.7.,easy
"Công nghệ thông tin (đào tạo bằng tiếng Anh) năm 2022, 2023 và 2024 điểm chuẩn như thế nào ạ?","Điểm chuẩn ngành Công nghệ thông tin (CTĐT Tiếng Anh):
- Năm 2022: 26.35
- Năm 2023: 25.98
- Năm 2024: 25.65.",hard
Năm 2024 có những ngành nào điểm từ 26 trở lên không ạ?,"Các ngành có điểm từ 26 trở lên năm 2024:
- Sư phạm tiếng Anh (CTĐT Tiếng Việt): 27.50
- Thiết kế đồ họa (CTĐT Tiếng Việt): 26.50
- Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt): 26.14.",hard
Năm 2025 có những ngành nào có điểm cao nhất và thấp nhất không ạ?,"Điểm cao nhất năm 2025:
- Sư phạm tiếng Anh (đào tạo bằng tiếng Việt): 29.57
Điểm thấp nhất năm 2025:
- Kỹ nghệ gỗ và nội thất (đào tạo bằng tiếng Việt): 21.10.",hard
Điểm chuẩn ngành Kỹ nghệ gỗ và nội thất năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Kỹ nghệ gỗ và nội thất (đào tạo bằng tiếng Việt) năm 2024 là 20.5.,easy
Cho em hỏi điểm chuẩn ngành Quản trị kinh doanh năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Quản trị kinh doanh (đào tạo bằng tiếng Việt) năm 2025 là 24.74.,easy
"Điểm chuẩn ngành Công nghệ kỹ thuật điều khiển và tự động hóa năm 2022, 2023, 2024 như thế nào ạ?","Điểm chuẩn các năm: 2022 là 24.80, 2023 là 25.15, 2024 là 25.35.",medium
Những ngành nào có điểm cao nhất và thấp nhất năm 2024 vậy ạ?,"Ngành có điểm cao nhất là Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) với 27.50, thấp nhất là Kỹ nghệ gỗ và nội thất (đào tạo bằng tiếng Việt) với 20.50.",hard
Khoa Cơ khí động lực năm 2022 có những ngành nào và điểm chuẩn là bao nhiêu ạ?,"Các ngành gồm: Công nghệ kỹ thuật ô tô (đào tạo bằng tiếng Việt) 25.35, Công nghệ kỹ thuật ô tô (đào tạo bằng tiếng Anh) 23.25, Công nghệ kỹ thuật nhiệt (đào tạo bằng tiếng Việt) 18.70, Công nghệ kỹ thuật nhiệt (đào tạo bằng tiếng Anh) 17.00, Năng lượng tái tạo (đào tạo bằng tiếng Việt) 21.00.",medium
Có ngành nào năm 2024 có điểm từ 22 trở lên không ạ?,"Có, các ngành có điểm từ 22 trở lên gồm: Sư phạm tiếng Anh (CTĐT Tiếng Việt) 27.50, Thiết kế đồ họa (CTĐT Tiếng Việt) 26.50, Công nghệ kỹ thuật điều khiển và tự động hóa (CTĐT Tiếng Việt) 26.14,...",hard
Năm 2025 có những ngành nào có điểm từ 24 trở lên không ạ?,"Có, những ngành có điểm từ 24 trở lên gồm: Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) 29.57, Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) 28.70,...",hard
Điểm chuẩn ngành Hệ thống kỹ thuật công trình xây dựng năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Hệ thống kỹ thuật công trình xây dựng (đào tạo bằng tiếng Việt) năm 2025 là 22.27.,easy
Ngành Công nghệ truyền thông năm 2025 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ truyền thông (Truyền thông số và Công nghệ đa phương tiện) (đào tạo bằng tiếng Việt) năm 2025 là 26.5.,easy
Điểm chuẩn ngành Quản trị NH và DV ăn uống năm 2025 là bao nhiêu vậy ạ?,Điểm chuẩn ngành Quản trị NH và DV ăn uống (đào tạo bằng tiếng Việt) năm 2025 là 23.35.,easy
Khoa Thời trang và Du lịch năm 2025 có những ngành nào và điểm chuẩn là bao nhiêu ạ?,"Khoa Thời trang và Du lịch năm 2025 có các ngành: Thiết kế thời trang 22.70, Công nghệ may 22.00, Quản trị NH và DV ăn uống 23.35.",medium
Ngành Năng lượng tái tạo năm 2024 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Năng lượng tái tạo (đào tạo bằng tiếng Việt) năm 2024 là 23.15.,easy
Điểm chuẩn ngành Công nghệ may năm 2022 là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ may (đào tạo bằng tiếng Việt) năm 2022 là 23.25.,easy
Cho em hỏi điểm chuẩn ngành Thiết kế đồ họa năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Thiết kế đồ họa (đào tạo bằng tiếng Việt) năm 2025 là 24.6.,easy
Điểm chuẩn ngành Công nghệ Kỹ thuật điều khiển và tự động hóa năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ Kỹ thuật điều khiển và tự động hóa năm 2025 là 25.45.,easy
Viện Sư phạm Kỹ thuật năm 2024 có những ngành nào và điểm chuẩn là bao nhiêu vậy ạ?,"Năm 2024, Viện Sư phạm Kỹ thuật có các ngành: 
- Sư phạm Công nghệ: 24.15 
- Tâm lý học giáo dục: 25.15.",medium
Công nghệ vật liệu năm 2022 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ vật liệu năm 2022 là 17.0.,easy
"Điểm chuẩn ngành Kinh doanh Quốc tế năm 2022, 2023 và 2024 như thế nào ạ?","Điểm chuẩn ngành Kinh doanh Quốc tế: 
- Năm 2022: 25.25 
- Năm 2023: 27.25 
- Năm 2024: 22.75.",medium
Khoa In và Truyền thông năm 2024 có điểm chuẩn các ngành là bao nhiêu ạ?,"Năm 2024, Khoa In và Truyền thông có các ngành: 
- Công nghệ kỹ thuật in: 22.0 
- Thiết kế đồ họa: 26.5.",medium
Có những ngành nào năm 2025 có điểm từ 20 trở lên không ạ?,"Năm 2025, một số ngành có điểm từ 20 trở lên: 
- Sư phạm tiếng Anh: 29.57 
- Công nghệ Kỹ thuật điều khiển và tự động hóa: 28.70 
- Chương trình đào tạo Kỹ thuật Thiết kế vi mạch: 28.65 
- Vật lý kỹ thuật: 28.65 
- Công nghệ Kỹ thuật hóa học: 28.35.",hard
Những ngành nào điểm cao nhất và thấp nhất năm 2022 vậy ạ?,"Năm 2022, ngành có điểm cao nhất là Công nghệ thông tin (CTĐT Tiếng Việt) với 26.75, còn ngành có điểm thấp nhất là Công nghệ kỹ thuật nhiệt, Kỹ thuật công nghiệp, Kỹ nghệ gỗ và nội thất, Công nghệ kỹ thuật môi trường, Kỹ thuật xây dựng công trình giao thông, tất cả đều có điểm 17.0.",hard
"Công nghệ Kỹ thuật điện, điện tử (đào tạo bằng tiếng Anh) năm 2025 điểm chuẩn là bao nhiêu ạ?","Điểm chuẩn ngành Công nghệ Kỹ thuật điện, điện tử (đào tạo bằng tiếng Anh) năm 2025 là 24.25.",easy
Em muốn biết điểm chuẩn ngành Kinh doanh Quốc tế năm 2023 là bao nhiêu ạ?,Điểm chuẩn ngành Kinh doanh Quốc tế năm 2023 là 27.25.,easy
Năm 2023 ngành nào điểm cao nhất và thấp nhất vậy ạ?,"Năm 2023, ngành có điểm cao nhất là Kinh doanh Quốc tế với 27.25, còn ngành có điểm thấp nhất là Kỹ nghệ gỗ và nội thất với 19.00.",hard
Điểm chuẩn ngành Công nghệ may năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ may năm 2024 là 21.41.,easy
Có những ngành nào năm 2022 có điểm từ 22 trở lên không ạ?,"Năm 2022, một số ngành có điểm từ 22 trở lên: 
- Công nghệ thông tin (CTĐT Tiếng Việt): 26.75 
- Công nghệ thông tin (CTĐT Tiếng Anh): 26.35 
- Công nghệ kỹ thuật cơ khí: 26.15.",hard
Ngành Năng lượng tái tạo năm 2023 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Năng lượng tái tạo năm 2023 là 22.4.,easy
"Em muốn biết điểm chuẩn ngành Công nghệ kỹ thuật máy tính năm 2022, 2023 và 2024 như thế nào ạ?","Điểm chuẩn ngành Công nghệ kỹ thuật máy tính: 
- Năm 2022: 25.25 
- Năm 2023: 24.98 
- Năm 2024: 25.40.",medium
Điểm chuẩn ngành Công nghệ Kỹ thuật điều khiển và tự động hóa năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ Kỹ thuật điều khiển và tự động hóa năm 2024 là 26.14.,easy
Ngành nào có điểm cao nhất và thấp nhất trong năm 2024 vậy ạ?,"Năm 2024, ngành có điểm cao nhất là Sư phạm tiếng Anh với 27.50, còn ngành có điểm thấp nhất là Kỹ nghệ gỗ và nội thất với 20.50.",hard
Điểm chuẩn ngành Cơ khí – Tự động Hóa (đào tạo bằng tiếng Anh) năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Cơ khí – Tự động Hóa (đào tạo bằng tiếng Anh) năm 2025 là 23.37.,easy
Cho em hỏi điểm chuẩn ngành Kỹ thuật Thiết kế vi mạch năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Kỹ thuật Thiết kế vi mạch năm 2025 là 28.65.,medium
Điểm chuẩn ngành Công nghệ kỹ thuật công trình xây dựng năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật công trình xây dựng năm 2024 là 21.0.,easy
Điểm chuẩn ngành Công nghệ thông tin năm 2022 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ thông tin năm 2022 là 26.75.,easy
Điểm chuẩn ngành Công nghệ kỹ thuật công trình xây dựng (đào tạo bằng tiếng Anh) năm 2022 là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật công trình xây dựng (đào tạo bằng tiếng Anh) năm 2022 là 19.75.,easy
Điểm chuẩn ngành Logistic và quản lý chuỗi cung ứng năm 2023 là bao nhiêu ạ?,Điểm chuẩn ngành Logistic và quản lý chuỗi cung ứng năm 2023 là 25.75.,easy
Ngành Công nghệ chế tạo máy (đào tạo bằng tiếng Nhật) năm 2025 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ chế tạo máy (đào tạo bằng tiếng Nhật) năm 2025 là 22.8.,easy
Điểm chuẩn ngành Công nghệ kỹ thuật cơ khí năm 2023 là bao nhiêu vậy ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật cơ khí năm 2023 là 23.2.,easy
Ngành Kinh doanh Quốc tế năm 2022 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Kinh doanh Quốc tế năm 2022 là 25.25.,easy
Khoa Khoa học Ứng dụng năm 2025 có ngành nào và điểm chuẩn là bao nhiêu ạ?,"Ngành Công nghệ vật liệu (đào tạo bằng tiếng Anh) 24.55, Công nghệ vật liệu (đào tạo bằng tiếng Việt) 24.55, Vật lý kỹ thuật 28.65.",medium
"Điểm chuẩn ngành Công nghệ kỹ thuật in năm 2022, 2023 và 2024 như thế nào ạ?","Điểm chuẩn ngành Công nghệ kỹ thuật in:
- 2022: 17.1
- 2023: 20.5
- 2024: 22.0",medium
Ngành Ngôn ngữ Anh (đào tạo tại phân hiệu Bình Phước) năm 2025 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Ngôn ngữ Anh (đào tạo tại phân hiệu Bình Phước) năm 2025 là 24.0.,easy
Ngành nào trong Khoa Kinh tế năm 2025 có điểm chuẩn cao nhất và thấp nhất ạ?,"Điểm chuẩn các ngành Khoa Kinh tế năm 2025:
- Quản trị kinh doanh (đào tạo bằng tiếng Việt): 24.74
- Kinh doanh Quốc tế (đào tạo tại phân hiệu Bình Phước): 24.50
- Kinh doanh Quốc tế (đào tạo bằng tiếng Việt): 24.95
- Thương mại điện tử (đào tạo tại phân hiệu Bình Phước): 24.70
- Thương mại điện tử (đào tạo bằng tiếng Việt): 25.70
- Công nghệ tài chính (đào tạo bằng tiếng Việt): 24.70
- Kế toán (đào tạo bằng tiếng Anh): 23.65
- Kế toán (đào tạo tại phân hiệu Bình Phước): 23.55
- Kế toán (đào tạo bằng tiếng Việt): 23.65
- Quản lý công nghiệp (đào tạo bằng tiếng Anh): 22.00
- Quản lý công nghiệp (đào tạo tại phân hiệu Bình Phước): 22.00
- Quản lý công nghiệp (đào tạo bằng tiếng Việt): 24.60
- Logistics và quản lý chuỗi cung ứng (đào tạo tại phân hiệu Bình Phước): 25.00
- Logistics và quản lý chuỗi cung ứng (đào tạo bằng tiếng Việt): 27.65",hard
Điểm chuẩn ngành Sư phạm tiếng Anh năm 2022 là bao nhiêu ạ?,Điểm chuẩn ngành Sư phạm tiếng Anh năm 2022 là 26.08.,easy
Ngành Công nghệ thông tin năm 2022 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ thông tin (CTĐT Tiếng Việt) năm 2022 là 26.75 và ngành Công nghệ thông tin (CTĐT Tiếng Anh) là 26.35.,medium
Điểm chuẩn ngành Sư phạm tiếng Anh năm 2023 là bao nhiêu ạ?,Điểm chuẩn ngành Sư phạm tiếng Anh năm 2023 là 27.20.,easy
"Ngành Công nghệ kỹ thuật điện, điện tử (CTĐT Tiếng Anh) năm 2023 có điểm chuẩn là bao nhiêu ạ?","Điểm chuẩn ngành Công nghệ kỹ thuật điện, điện tử (CTĐT Tiếng Anh) năm 2023 là 23.5.",easy
"Ngành Kỹ nghệ gỗ và nội thất năm 2022, 2023 và 2024 điểm chuẩn như thế nào ạ?","Điểm chuẩn ngành Kỹ nghệ gỗ và nội thất:
- 2022: 17.0
- 2023: 19.0
- 2024: 20.5",medium
Công nghệ kỹ thuật ô tô năm 2023 có điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt) năm 2023 là 26.65.,easy
Kế toán năm 2023 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Kế toán (CTĐT Tiếng Việt) năm 2023 là 26.0.,easy
Điểm chuẩn ngành Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Anh) năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Anh) năm 2025 là 25.75.,easy
Ngành Công nghệ vật liệu năm 2025 điểm chuẩn là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ vật liệu (đào tạo bằng tiếng Việt) năm 2025 là 24.55.,easy
Ngành nào điểm cao nhất và thấp nhất năm 2022 vậy ạ?,"Ngành có điểm cao nhất năm 2022 là Công nghệ thông tin (CTĐT Tiếng Việt) với 26.75, và ngành có điểm thấp nhất là Công nghệ kỹ thuật nhiệt (CTĐT Tiếng Anh) với 17.0.",hard
Điểm chuẩn ngành Công nghệ thực phẩm năm 2022 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ thực phẩm (CTĐT Tiếng Việt) năm 2022 là 20.1.,easy
Ngành nào điểm cao nhất năm 2024 vậy ạ?,Điểm cao nhất năm 2024 thuộc ngành Sư phạm tiếng Anh (CTĐT Tiếng Việt) với 27.50.,hard
Điểm chuẩn ngành Công nghệ kỹ thuật ô tô năm 2024 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ kỹ thuật ô tô (CTĐT Tiếng Việt) năm 2024 là 25.39.,medium
"Năm 2025, ngành nào cao nhất và thấp nhất vậy ạ?","Ngành cao nhất năm 2025 là Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) với 29.57, còn ngành thấp nhất là Kỹ nghệ gỗ và nội thất (đào tạo bằng tiếng Việt) với 21.10.",hard
Điểm chuẩn ngành Công nghệ Kỹ thuật cơ điện tử năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Công nghệ Kỹ thuật cơ điện tử (đào tạo bằng tiếng Việt) năm 2025 là 27.7.,easy
Khoa Công nghệ hóa học và thực phẩm năm 2022 có những ngành nào và điểm chuẩn ra sao ạ?,"Các ngành trong Khoa Công nghệ hóa học và thực phẩm năm 2022 gồm: 
- Công nghệ thực phẩm (CTĐT Tiếng Việt): 20.1
- Công nghệ thực phẩm (CTĐT Tiếng Anh): 17.5
- Công nghệ kỹ thuật môi trường (CTĐT Tiếng Việt): 17.0
- Công nghệ kỹ thuật hóa học (CTĐT Tiếng Việt): 23.1",medium
Điểm chuẩn ngành Luật năm 2025 là bao nhiêu ạ?,Điểm chuẩn ngành Luật (đào tạo bằng tiếng Việt) năm 2025 là 24.73.,easy
